item_id,title,raiting,description,price,href
p357664845, Ноутбук ASUS Laptop M515DA-BQ1255 (90NB0T41-M00C20) Slate Grey / AMD Ryzen 3 3250U / RAM 8 ГБ / SSD 256 ГБ, 4 відгуки ,"Екран 15.6"" IPS (1920x1080) Full HD, матовий / AMD Ryzen 3 3250U (2.6 - 3.5 ГГц) / RAM 8 ГБ / SSD 256 ГБ / AMD Radeon Graphics / без ОД / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.8 кг / сірий",18999,https://rozetka.com.ua/ua/asus-90nb0t41-m00c20/p357664845/
p358234014, Ноутбук ASUS Laptop X515EP-BQ654 (90NB0TZ3-M00HU0) Peacock Blue / Intel Core i5-1135G7 / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce MX330, залишити відгук ,"Экран 15.6"" IPS (1920x1080) Full HD, матовый / Intel Core i5-1135G7 (2.4 - 4.2 ГГц) / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce MX330, 2 ГБ / без ОД / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.8 кг / синий",29999,https://rozetka.com.ua/ua/asus-90nb0tz3-m00hu0/p358234014/
p354203979, Ноутбук Acer Nitro 5 AN515-57 (NH.QESEU.00Z) Shale Black, 6 відгуків ,"Екран 15.6” IPS (1920x1080) Full HD 144 Гц, матовий / Intel Core i5-11400H (2.7 - 4.5 ГГц) / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050 Ti, 4 ГБ / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / без ОС / 2.2 кг / чорний",40999,https://rozetka.com.ua/ua/acer-nhqeseu00z/p354203979/
p359855616, Ноутбук ASUS Vivobook Pro 15 M6500IH-HN084 (90NB0YP2-M00470) Cool Silver / AMD Ryzen 5 4600H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce GTX 1650 Max-Q, 5 відгуків ,"Екран 15.6"" IPS (1920x1080) Full HD 144 Гц, глянсовий / AMD Ryzen 5 4600H (3.0 - 4.0 ГГц) / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce GTX 1650 Max-Q, 4 ГБ / без ОД / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.8 кг / срібний",33499,https://rozetka.com.ua/ua/asus-90nb0yp2-m00470/p359855616/
p346065079, Ноутбук Asus ROG Strix G15 G513IM-HN008 (90NR0522-M005M0) Eclipse Gray / AMD Ryzen 7 4800H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3060, 22 відгуки ,"Екран 15.6"" IPS (1920x1080) Full HD 144 Гц, матовий / AMD Ryzen 7 4800H (2.9 - 4.2 ГГц) / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3060, 6 ГБ / без ОД / LAN / Wi-Fi / Bluetooth / без ОС / 2.3 кг / сірий",49999,https://rozetka.com.ua/ua/asus-g513im-hn008/p346065079/
p358120851, Ноутбук ASUS Vivobook Go 15 E510KA-EJ297 (90NB0UJ5-M00BN0) Star Black / Intel Celeron N4500 / RAM 8 ГБ / SSD 256 ГБ, 1 відгук ,"Экран 15.6"" (1920x1080) Full HD, матовый / Intel Celeron N4500 (1.1 - 2.8 ГГц) / RAM 8 ГБ / SSD 256 ГБ / Intel UHD Graphics / без ОД / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.57 кг / черный",15999,https://rozetka.com.ua/ua/asus-90nb0uj5-m00bn0/p358120851/
p359410905, Ноутбук Acer Aspire 3 A315-23-R5G7 (NX.HVTEU.03B) Charcoal Black, 4 відгуки ,"Екран 15.6"" IPS (1920x1080) Full HD, матовий / AMD Athlon Silver 3050U (2.3 - 3.2 ГГц) / RAM 8 ГБ / SSD 256 ГБ / AMD Radeon Graphics / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.9 кг / чорний",15999,https://rozetka.com.ua/ua/acer-nxhvteu03b/p359410905/
p335740168, Ноутбук Prestigio SmartBook 141 С7 (PSB141C07CHH_MG_CIS) Silver, 21 відгук ,"Екран 14.1"" TN (1366х768) WXGA HD, матовий / Intel Celeron N3350 (1.1 - 2.4 ГГц) / RAM 4 ГБ / eMMC 128 ГБ / Intel HD Graphics 500 / без ОД / Wi-Fi / Bluetooth / веб-камера / Windows 10 Home / 1.4 кг / срібний / чехол",9999,https://rozetka.com.ua/ua/prestigio-psb141c07chh-mg-cis/p335740168/
p346608171, Ноутбук ASUS Laptop X515EA-BQ2131 (90NB0TY2-M00YK0) Transparent Silver / Intel Core i3-1115G4 / RAM 12 ГБ / SSD 512 ГБ, 143 відгуки ,"Екран 15.6"" IPS (1920x1080) Full HD, матовий / Intel Core i3-1115G4 (3.0 - 4.1 ГГц) / RAM 12 ГБ / SSD 512 ГБ / Intel UHD Graphics / без ОД / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.8 кг / срібний",20999,https://rozetka.com.ua/ua/asus-90nb0ty2-m00yk0/p346608171/
p347052162, Ноутбук ASUS Laptop X515EA-BQ1189 (90NB0TY1-M23270) Slate Grey / Intel Core i3-1115G4 / RAM 8 ГБ / SSD 256 ГБ, 4 відгуки ,"Екран 15.6"" IPS (1920x1080) Full HD, матовий / Intel Core i3-1115G4 (3.0 - 4.1 ГГц) / RAM 8 ГБ / SSD 256 ГБ / Intel UHD Graphics / без ОД / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.8 кг / сірий",19999,https://rozetka.com.ua/ua/asus-90nb0ty1-m23270/p347052162/
p339373132," Ноутбук ASUS TUF Gaming F15 FX506HM-HN017 (90NR0753-M01170) Eclipse Gray / 15.6"" IPS / Intel Core i5-11400H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3060", 9 відгуків ,"Екран 15.6"" IPS (1920x1080) Full HD 144 Гц, матовий / Intel Core i5-11400H (2.7 - 4.5 ГГц) / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3060, 6 ГБ / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / без ОС / 2.3 кг / сірий",48999,https://rozetka.com.ua/ua/asus-90nr0753-m01170/p339373132/
p345352756, Ноутбук Acer Aspire 3 A315-23-R684 (NX.HVTEU.03A) Charcoal Black, 5 відгуків ,"Екран 15.6"" (1920x1080) Full HD, матовий / AMD Athlon Silver 3050U (2.3 - 3.2 ГГц) / RAM 4 ГБ / SSD 128 ГБ / AMD Radeon Graphics / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.9 кг / чорний",12999,https://rozetka.com.ua/ua/acer-nxhvteu03a/p345352756/
p350010972, Ноутбук Lenovo IdeaPad Gaming 3 16IAH7 (82SA00EDRA) Onyx Grey, 11 відгуків ,"Екран 16"" IPS (1920x1200) WUXGA+ 165 Гц, матовий / ",53333,https://rozetka.com.ua/ua/lenovo-82sa00edra/p350010972/
